"scrapeDate","vehicleHistUseType","vehicleHistTitleStatus","fuelType","driveType","engineInfo","interiorColor","exteriorColor","priceClassDiffDirection","city","state","allFeatures","listingDateDiff","vehicleHistNumOwners","vehicleHistAccidents","mileage","monthlyPayment","priceClassDiffAmt","mileageRatingCity","mileageRatingHighway","accidentN","ownersN","listPrice","priceClassification","great_price_prob","excellent_price_prob","is_excellent","is_great","deal_score"
"2023-02-23","Personal Use","Clean","Gas","FWD","1.8L Inline-4 Gas","Black","Classic Silver Metallic","below","Hayward"," CA","ABS (4-Wheel) ~  Air Conditioning ~  AM/FM Stereo ~  Backup Camera ~  Bluetooth Wireless ~  Daytime Running Lights ~  Dual Air Bags ~  Dynamic Cruise Control ~  F&amp;R Head Curtain Air Bags ~  Hill Start Assist Control ~  Keyless Entry ~  Knee Air Bags ~  Lane Departure Alert ~  LED Headlamps ~  Power Door Locks ~  Power Steering ~  Power Windows ~  Remote Trunk Release",-1,1,0,61491,307,-721,30,38,0,1,18497,"Excellent Price",0.3,0.692,1,0,0.992
"2023-02-23","Personal Use","Clean","Gas","FWD","1.8L Inline-4 Gas","Black","Classic Silver Metallic","below","Midlothian"," VA","ABS Brakes ~ Air Conditioning ~ Alloy Wheels ~ AM/FM Radio ~ CD Player ~ Child Safety Door Locks ~ Cruise Control ~ Daytime Running Lights ~ Driver Airbag ~ Electronic Brake Assistance ~ First Aid Kit ~ Fog Lights ~ Front Side Airbag ~ Interval Wipers ~ Leather Steering Wheel ~ Passenger Airbag ~ Power Door Locks ~ Power Sunroof",-22,3,0,107527,232,-632,29,37,0,0,13975,"Excellent Price",0.136,0.854,1,0,0.99
"2023-02-23","Personal Use","Clean","Gas","FWD","1.8L Inline-4 Gas","Black","Classic Silver Metallic","below","Fort Washington"," MD","6 Speakers ~ AM/FM radio: SiriusXM ~ Radio data system ~ Radio: Audio AM/FM w/Navigation ~ Air Conditioning ~ Rear window defroster ~ Power steering ~ Power windows ~ Steering wheel mounted audio controls ~ Four wheel independent suspension ~ Traction control ~ 4-Wheel Disc Brakes ~ ABS brakes ~ Dual front impact airbags ~ Dual front side impact airbags ~ Emergency communication system: Safety Connect with 3-year trial ~ Front anti-roll bar ~ Knee airbag",-131,1,0,48811,284,-837,30,38,0,1,17148,"Excellent Price",0.228,0.762,1,0,0.99
"2023-02-23","Personal Use","Clean","Gas","FWD","1.8L Inline-4 Gas","Cream","Classic Silver Metallic","below","Pompano Beach"," FL","6 Speakers ~ AM/FM radio ~ CD player ~ Radio data system ~ Radio: AM/FM/CD Player w/6.1'' Touch Screen ~ Air Conditioning ~ Rear window defroster ~ Power steering ~ Power windows ~ Steering wheel mounted audio controls ~ Speed-sensing steering ~ Traction control ~ ABS brakes ~ Dual front impact airbags ~ Dual front side impact airbags ~ Front anti-roll bar ~ Front wheel independent suspension ~ Knee airbag",-29,1,0,96699,207,-958,27,36,0,1,12489,"Excellent Price",0.142,0.848,1,0,0.99
"2023-02-23","Personal Use","Clean","Gas","FWD","1.8L Inline-4 Gas","Black","Classic Silver Metallic","below","Fullerton"," CA","Front Head Room : 37.9 In ~ Front Hip Room : 53.0 In",0,2,0,112568,147,-614,26,34,0,0,8899,"Excellent Price",0.1,0.888,1,0,0.988
"2023-02-23","Personal Use","Clean","Gas","FWD","1.8L Inline-4 Gas","Black","Classic Silver Metallic","below","Norfolk"," VA","ABS Brakes ~ Air Conditioning ~ Alloy Wheels ~ AM/FM Radio ~ CD Player ~ Child Safety Door Locks ~ Cruise Control ~ Daytime Running Lights ~ Driver Airbag ~ Electronic Brake Assistance ~ Fog Lights ~ Front Air Dam ~ Front Side Airbag ~ Heated Exterior Mirror ~ Interval Wipers ~ Keyless Entry ~ Passenger Airbag ~ Power Adjustable Exterior Mirror",-48,2,0,99366,174,-798,26,34,0,2,10495,"Excellent Price",0.042,0.946,1,0,0.988
"2023-02-23","Personal Use","Clean","Gas","FWD","1.8L Inline-4 Gas","Beige","Classic Silver Metallic","below","Portland"," OR","4-Cyl 1.8 Liter ~ Automatic ~ FWD ~ ABS (4-Wheel) ~ Air Conditioning ~ Power Windows ~ Power Door Locks ~ Power Steering ~ Tilt Wheel ~ AM/FM Stereo ~ CD/MP3 (Single Disc) ~ Dual Air Bags",-19,3,0,126338,120,-639,30,38,0,3,7223,"Excellent Price",0.132,0.856,1,0,0.988
"2023-02-23","Rental Use","Clean","Gas","FWD","1.8L Inline-4 Gas","Black","Classic Silver Metallic","below","Hollywood"," FL","Wheels: 16"" Wide Vent Steel ~ Front Bucket Seats ~ Premium Fabric Seat Trim ~ Radio: Audio AM/FM w/Navigation ~ 4-Wheel Disc Brakes ~ 6 Speakers ~ Air Conditioning ~ Electronic Stability Control ~ Front Center Armrest ~ Tachometer ~ ABS brakes ~ Automatic temperature control ~ Brake assist ~ Bumpers: body-color ~ Delay-off headlights ~ Driver door bin ~ Driver vanity mirror ~ Dual front impact airbags",-30,1,0,59261,273,-885,30,38,0,0,16495,"Excellent Price",0.122,0.866,1,0,0.988
"2023-02-23","Personal Use","Clean","Gas","FWD","1.8L Inline-4 Gas","Black","Celestite Gray Metallic","below","Hollywood"," FL","Gas Engine Type ~ Regular Unleaded Fuel Type ~ 132 Horsepower ~ 6000 Horsepower RPM ~ 128 Torque ~ 4400 Torque RPM ~ 1.8 Engine Displacement ~ Inline Engine Configuration ~ 4 Cylinders ~ 29 EPA City Fuel Economy ~ 37 EPA Highway Fuel Economy ~ 32 EPA Combined Fuel Economy ~ Automatic Transmission Type ~ Continuously Variable ~ 1 Gear Number ~ 2.48 First Gear Ratio ~ 2.6 Reverse Gear Ratio ~ Disc Front Brakes",-30,4,0,77501,215,-621,29,37,0,4,12988,"Excellent Price",0.112,0.876,1,0,0.988
"2023-02-23","Personal Use","Clean","Gas","FWD","1.8L Inline-4 Gas","Charcoal","Classic Silver Metallic","below","Goodyear"," AZ","6 Speakers ~ AM/FM radio ~ AM/FM/CD Player w/MP3/WMA Capability ~ CD player ~ MP3 decoder ~ Radio data system ~ Air Conditioning ~ Rear window defroster ~ Power steering ~ Power windows ~ Remote keyless entry ~ Steering wheel mounted audio controls ~ Speed-sensing steering ~ Traction control ~ ABS brakes ~ Anti-whiplash front head restraints ~ Dual front impact airbags ~ Dual front side impact airbags",-30,1,0,86637,215,-593,26,34,0,0,13000,"Excellent Price",0.196,0.79,1,0,0.986
"2023-02-23","Personal Use","Clean","Gas","FWD","1.8L Inline-4 Gas","Black","Black Sand Pearl","below","Orlando"," FL","Front Wheel Drive ~ Power Steering ~ ABS ~ 4-Wheel Disc Brakes ~ Brake Assist ~ Steel Wheels ~ Tires - Front Performance ~ Tires - Rear Performance ~ Wheel Covers ~ Temporary Spare Tire ~ Power Mirror(s) ~ Rear Defrost ~ Intermittent Wipers ~ Variable Speed Intermittent Wipers ~ Daytime Running Lights ~ Automatic Headlights ~ LED Headlights ~ Automatic Highbeams",-2,1,0,24209,307,-823,30,38,0,1,18498,"Excellent Price",0.282,0.704,1,0,0.986
